content,cleaned_content,score,accuracy,completeness,satisfaction
Aplikasi pencuri dan penipu. saldo berkurang tapi emoney tidak masuk saldonya. cs nya robot nanggapinya sama seperti orang pencuri. Hati-hati saya sudah merasakan pencuri dari mereka kalian juga akan merasakan hal yang sama,aplikasi pencuri dan penipu. saldo berkurang tapi emoney tidak masuk saldonya. cs nya robot nanggapinya sama seperti orang pencuri. hati hati saya sudah merasakan pencuri dari mereka kalian juga akan merasakan hal yang sama,1,1,1,1
makin lama makin jelek ni aplikasi... malu maluin... mau bayar aplikasi nya nga kebuk² keluar sendiri... ampe 1 jam gitu mulu... bilang klw aplikasi nya mau di hpus supaya nga usa pake aplikasi dana... malu maluin aplikasi ini... nga bisa di harap nyimpan uang klw mau bayar...,makin lama makin jelek ni aplikasi... malu maluin... mau bayar aplikasi nya nga kebuk keluar sendiri... ampe 1 jam gitu mulu... bilang klw aplikasi nya mau di hpus supaya nga usa pake aplikasi dana... malu maluin aplikasi ini... nga bisa di harap nyimpan uang klw mau bayar...,1,1,0,1
"Tolong lah perbaiki lagi sistem nya! baru kemarin transaksi 1 juta seminggu baru masuk, sekarang top up e wallet udah nggak masuk lagi! ampun dah","tolong lah perbaiki lagi sistem nya! baru kemarin transaksi 1 juta seminggu baru masuk, sekarang top up e wallet udah nggak masuk lagi! ampun dah",1,1,0,1
"Dana goals stuck di layar putih terus ngga ada keterangan apapun, saya mau narik uangnya juga susah ngga ada pilihan apapun, kecewa!","dana goals stuck di layar putih terus ngga ada keterangan apapun, saya mau narik uangnya juga susah ngga ada pilihan apapun, kecewa!",1,1,0,1
kenapa gak bisa liat transaksi ya ka apl nya,kenapa gak bisa liat transaksi ya ka apl nya,2,1,0,0
"Parah, sudah bertahun tahun pakai aplikasi dana, enggak ada dana cicil ataupun reward. payah","parah, sudah bertahun tahun pakai aplikasi dana, enggak ada dana cicil ataupun reward. payah",1,0,1,1
"tolong kembalikan saldo saya menghilang secara tiba tiba , saldo saya awalnya 824.000 hilang tinggal 4.000 . padahal di inbox dan aktivitas tidak ada notifikasi transaksi keluar","tolong kembalikan saldo saya menghilang secara tiba tiba , saldo saya awalnya 824.000 hilang tinggal 4.000 . padahal di inbox dan aktivitas tidak ada notifikasi transaksi keluar",2,1,0,1
"gimana caranya klaim proteksi batal nonton, kagak nemu caranya,","gimana caranya klaim proteksi batal nonton, kagak nemu caranya,",1,0,1,0
"sy sdh membayar dana cicil,mau gunakan lagi gak bs..parah","sy sdh membayar dana cicil,mau gunakan lagi gak bs..parah",1,1,0,1
makin gjls ni dana,makin gjls ni dana,1,0,0,1
dana kenapa semua fitur mu kadaluarsa semua e-wallet terutama saya kesulitan untuk tranfer uang tolong diperbaiki masalahnya 🙏,dana kenapa semua fitur mu kadaluarsa semua e wallet terutama saya kesulitan untuk tranfer uang tolong diperbaiki masalahnya,1,1,0,1
saya tidak dapat bertransaksi membeli robux di roblox alasan nya karena transaksi dana melebih batas..,saya tidak dapat bertransaksi membeli robux di roblox alasan nya karena transaksi dana melebih batas..,3,1,0,0
leg setelah update tolong perbaiki,leg setelah update tolong perbaiki,1,1,0,0
saya isi kuota dan saldo saya sudah dipotong tapi kenapa kuotanya belum masuk. mohon di respon mumpung saya lagi sopan,saya isi kuota dan saldo saya sudah dipotong tapi kenapa kuotanya belum masuk. mohon di respon mumpung saya lagi sopan,1,1,0,1
Dana cicil itu sih bagus cuma terbatas. kadang pas butuh gk bisa dipakai... malu-maluin sih. Klo masih ragu² gk usah sok mampu ngasi kredit. Bintang kasi 2 aja dulu biar ada evaluasi.,dana cicil itu sih bagus cuma terbatas. kadang pas butuh gk bisa dipakai... malu maluin sih. klo masih ragu gk usah sok mampu ngasi kredit. bintang kasi 2 aja dulu biar ada evaluasi.,2,1,0,1
maaf dana nya ga bisa ke buka,maaf dana nya ga bisa ke buka,1,1,0,0
"Kenapa Sekarang Aplikasinya Jadi Lemot, Loading nya aku tunggu sampe 3 jam Gak Selesai²","kenapa sekarang aplikasinya jadi lemot, loading nya aku tunggu sampe 3 jam gak selesai",1,1,0,1
terlalu lelet dan sering eror,terlalu lelet dan sering eror,3,1,0,1
"coba d perbaiki lgi itu dana,buka dana malah balik lagi ke beranda benerin cobaa","coba d perbaiki lgi itu dana,buka dana malah balik lagi ke beranda benerin cobaa",1,1,0,1
masih banyak kekurangan jika salah kirim uang ke nomor dana yg sudah tidak aktif lagi.. tidak bisa melaporkan untuk pengembalian uang,masih banyak kekurangan jika salah kirim uang ke nomor dana yg sudah tidak aktif lagi.. tidak bisa melaporkan untuk pengembalian uang,2,0,1,1
Gajelas dana kemarin waktu mau bayar di toko pakai dana pembayaran gagal karna gangguan sudah jelas2 gagal yauda saya bayar pakai cash tiba2 besoknya pembayaran di toko semalam berhasil dan terlanjur bayar pakai cash jdi bikin rugi,gajelas dana kemarin waktu mau bayar di toko pakai dana pembayaran gagal karna gangguan sudah jelas2 gagal yauda saya bayar pakai cash tiba2 besoknya pembayaran di toko semalam berhasil dan terlanjur bayar pakai cash jdi bikin rugi,3,1,0,1
kekurangnya mau buka detailnya lama bs sampai 30 menit,kekurangnya mau buka detailnya lama bs sampai 30 menit,3,1,0,1
"kepada pihak dana mohon lebih di buat nyaman pengguna nya, saya melakukan penjualan emas masih pending padahal saya butuh dana cepat untuk saya gunakan.","kepada pihak dana mohon lebih di buat nyaman pengguna nya, saya melakukan penjualan emas masih pending padahal saya butuh dana cepat untuk saya gunakan.",3,1,0,1
harus premium buat tf,harus premium buat tf,1,0,1,0
"SALDO TIBA-TIBA HILANG, TRANSAKSI TERTUTUP TANPA PERSETUJUAN SAYA, SAYA MINTA PENGEMBALIAN DANA SAYA. BUAT YANG MAU DOWNLOAD MENDING PIKIR-PIKIR DULU!!!","saldo tiba tiba hilang, transaksi tertutup tanpa persetujuan saya, saya minta pengembalian dana saya. buat yang mau download mending pikir pikir dulu!!!",1,1,0,1
apk busuk transaksi nyangkut harus nunggu 24 jam dikira uangnya nggak mau kepakek apa,apk busuk transaksi nyangkut harus nunggu 24 jam dikira uangnya nggak mau kepakek apa,1,1,0,1
susah banget buat masuk ulang,susah banget buat masuk ulang,1,1,0,1
uang saya hilang. bener2 buruk pelayanannya,uang saya hilang. bener2 buruk pelayanannya,1,1,1,1
"tolong kembalikan uang saya, memang tidak seberapa tapi bagi keluarga kami itu uang cukup untuk lauk kami 3 hari 🙏 itupun uang pemberian yang tidak masuk ke dana ku padahal berhasil di kirim","tolong kembalikan uang saya, memang tidak seberapa tapi bagi keluarga kami itu uang cukup untuk lauk kami 3 hari itupun uang pemberian yang tidak masuk ke dana ku padahal berhasil di kirim",1,1,0,1
"aplikasi nya gajelas🙏, kalo ada saldo lebih dari 30 langsung ketarik apk langganan padahal saya udah masang dana protection DAN SAYA NGGA NGERASA LANGGANAN TIBA-TIBA LANGGANAN KALO UANG SAYA LEBIH DARI 30, dan ngga di kembaliin uang nya walaupun dah di ajukan pengembalian kecewa 😭🙏","aplikasi nya gajelas , kalo ada saldo lebih dari 30 langsung ketarik apk langganan padahal saya udah masang dana protection dan saya ngga ngerasa langganan tiba tiba langganan kalo uang saya lebih dari 30, dan ngga di kembaliin uang nya walaupun dah di ajukan pengembalian kecewa",1,1,1,1
setiap mau melakukan pembayaran game sudah ada tulisan berhasil tapi setelah keluar dari pembayaran muncul notif transaksi gagal terus udh diulangin berkali kali,setiap mau melakukan pembayaran game sudah ada tulisan berhasil tapi setelah keluar dari pembayaran muncul notif transaksi gagal terus udh diulangin berkali kali,1,1,0,1
"dana kenapa sih kalo buka aplikasi selalu nge stuck di logo sialan banget, lagi genting juga malah nyusahin","dana kenapa sih kalo buka aplikasi selalu nge stuck di logo sialan banget, lagi genting juga malah nyusahin",1,1,0,1
sangat disayangkan dana instan tidak muncul . didanaku makanya aku kasih rating bintang 3,sangat disayangkan dana instan tidak muncul . didanaku makanya aku kasih rating bintang 3,3,0,1,1
kenapa dana aku muter2 Mulu masuk ga bisa.udah aku instal ulang tetep aja g bisa masuk,kenapa dana aku muter2 mulu masuk ga bisa.udah aku instal ulang tetep aja g bisa masuk,1,1,0,1
kenapa susah sekali masuk nya sih. jaringan bermasalah Mulu. dari kemaren kesel.,kenapa susah sekali masuk nya sih. jaringan bermasalah mulu. dari kemaren kesel.,3,1,0,1
di abaikan bisa tapi saldo kepotong terus gimna?,di abaikan bisa tapi saldo kepotong terus gimna?,1,1,0,1
